,Negative_reviews
24,"when vlc was the only media player that worked i had a great love in my heart for it however in its current incarnation it is a gigantic buggy mess that largely doesnt work with any of my other tech casting is buggy and constantly freezes and my number one complaint is that the app is continually opening in the background and playing music when i dont ask it to this app is a mess and it only gets 3 stars until they fix :  
"
25,"this app is as good as its desktop counterpart it supports hundreds of file formats and will play anything you their at it for example i couldnt play wma files on google play music but vlc solved ask these problems however theres one bug flac files sometimes appear to have no length this doesnt affect playback but it means you cant skip ahead :  
"
26,"great simple music app i dont like other apps because they all try to get you to stream this one doesnt push stuff you dont want i just wish that playlists were more quickly accessable when browsing your music collection you have to leave audio and select playlists to see them would be better if they were available via the menu at the top of the audio screen were genera artist album etc are located :  
"
27,"plays a lot of popular formats and easy to use but there seems to be a problem with ordered chapter support a few seconds of audio at the end of a chapter and at the start of the next are cut off hope this can be fixed :  
"
28,"why does it randomly cut out at certain points in certain movies while casting seems phone specific though works ok on samsung but the oppo certain movies at a certain point it will just drop ill remove the review after your acknowledgement as this could be the oppo a9 but if possible to look into it and fix it would be amazing  :  
"
29,"introduced new severe bugs on the latest update ab looping is always on for me even when disabled it keeps going back to the same part of the clip frustrating annoying and makes it unuseable im on android 7 i shouldnt have updated vlc was working fine before the 2020 updates :  
"
30,"found no videos yet that i cant play with this there were some interface mishaps here and there along the time before but theyve all ended with couple updates no ads userfriendly design lots of features like speed control and screen lock while watching great work :  
"
31,"love the regular pc version and this app has potential but its just so buggy and broken just some issues when clicking on an audio track it doesnt just play and when done continues to the next but instead it opens a tab at the bottom with only that 1 track on repeatwhen watching a video you cant add it to a playlist instead it will add all videos from your library to that playlist after searching a title of a video you get the wrong 1 when clicking on any found video  :  
"
32,"ive used this app since the beta version and absolutely love it theres nothing even close to it and its free ive given it one star in hopes this gets attention a few updates ago for some reason its started saving a pic locally not on my sd card where the app is for every single mp3 file 10 songs in an album ten pictures saved its an issue due to the amount of music i have on my phone the data size locally is close to 2 gigs can this be fixed :  
"
33,"the app player is really good it will play almost anything but playlist options are really bad there arent any real ways of adding hundreds and hundreds of files to a playlist you have to do everything manually casting is also unreliable with many glitches :  
"
34,"used to love this app so much that i almost hate going to another app because after the latest update the app just stays on a blank screen on start up and this is so annoying tried switching of my network just yo see if it would work but nothing changed im considering to uninstall it for good but for now ill wait for an update and see if this problem goes gets fixed plz fix this app i used to love it so much it would be a pity to let it go :  
"
35,"not smoothly working with chromecast getting disconnected abruptly to move forward and backward for 10 or 15 seconds with buttons would be more user friendly audio playback has quality issues hard bass with jarring sound from vlc is observed while the same track played between vlc other players :  
"
36,"was the biggest fan of vlc across all devices not so much anymore since the last update the volume control is horrible on samsung note 10 trying to play music or video through car stereo system and the sound is so much less then the previous version have to turn volume all the way up in car and still can barely hear it will be using another app until this issue is resolved :  
"
37,"i think vlc is the best all round player however after recent update there is no audio on resume play after closingopening app eg if i have to pause halfway thru a film for some reason and turn off my tablet when i turn my tablet back on vlc asks if id like to resume from last position when i accept i get no sound if i accept start from beginning the sound returns if i try then to skip foward the sound is lost again most annoying :  
"
38,"it would be great if it worked properly when playing a live stream it doesnt retry on a network change so if the wifi reconnects or mobile data changes between eg 1xrtt evdo and lte it just stops playing entirely this is really annoying streaming is literally the only thing i use it for because compared to the windows version this is useless im on an lg v20 which has the high end dac that supports many sample rates and im pretty sure this vlc just uses the android 48khz default :  
"
39,"i use the screen cast screen mirroring option on my oneplus 7t pro and then play videos through vlc since a few days when i play the video after mirroring the screen i see the cast remote icon on the tv same as the screen but the audio plays updated vlc to the latest version but doesnt help using chromecast for the same btw and phone on android 10 please fix :  
"
40,"up to now this has been my number once choice for media player for both android and windows pc for many years my samsung galaxy j4 core worked great with this app until today where it would only open up a blank screen and then crash ive forced stop the app and also uninstalled and reinstalled but still had the same im so very disappointed i cant use the app any more :  
"
41,"the latest update 12 march 2020 broke the best and most comprehensive player available when i load the player it does nothing no playlists no menus nothing as of now this app is only a boat anchor i will wait for the next update if one is forthcoming to decide if i will keep or delete :  
"
42,"what is wrong with it it always crashes when i play mp3 songs every single time i cant even listen to one song properly completely cant you fix it or tell me what am i doing wrong i use bluetooth lg speaker large expensive nokia 2 everything plays fine when i use other players using same device :  
"
43,"the big problem with this app is that every time i start playing a video even if it is the same video i played before it is unlocked which means it can rotate depending on the orientation of my tablet what is needed here is an option in the settings to lock it to landscape mode or portrait mode or to remember the last setting having to rotate the tablet 90 degrees tap the lock button and then rotate the tablet back every time i start playing a video is beep annoying  :  
"
44,"the cast button takes forever to appear if at all i have to cast different apps to chromecast to get it to show in vlc player also i dont like when it continuously scrolls to show all of the title of videos the cast to chromecast problem has been there for many years now i even uninstalled and reinstalled and the new update dont fix it thats why i only use this for the movies that wont cast with my other casting apps :  
"
45,"i always love using vlc on windows but in android there is a problem while playing an audio file if i select a video file from file folder rather than playing vdo file it continues to play audio file solution is very hactic stop the file and exit vlc than select the vdo file other than that it is ok :  
"
46,"lots of bugs has been fixed but there are still 3 most irritating bugs which i am not comfortable with 1 everytime i switch to another app while watching a video and when i switch back the subtitles doesnt show until a replay the video 2 sometimes audio latency does not adjust with bluetooth earphones until you restart the app or adjust audio delay manually 3 sometimes video list shows empty everytime i open the app video list doesnt show until we refresh the list :  
"
47,"overall vlc is great i use it everywhere and love it but unfortunately this time i cannot rate it high why do i have to re type my credentials every time for each folder while browsing an smb file system double on that even if the option to remember the password is ticked please let me see a fix for this this makes the software unusable its unacceptable having to install broken software on systems because of bugs like this when i see a fix i will reconsider my rating sorry :  
"
48,"it used to be great and i used to love vlc but recently it started this new problem in which it does not detect the subtitle file which is present in my deviceandroid i downloaded alot of subtitle files for the same movie but it didnt even detect a single one this was very troubling and i even tried the download subtitle option but it wont work either please fix this problem and i will rate it five stars again :  
"
49,"can not play movies in their original aspect ratio always stretching pictures vertically and want to use exactly as my phones screen size for example original movie has black bar on top and down but this app always want to eliminate it and use full screen that results is awkward i tried all setting but there is not advance setting in new versions i tried other apps like mx player to make sure this is not my phones fault but other apps play well in original aspect ratio :  
"
50,"why is it that the app corrupt my mobile phone all the movies i downloaded was wiped out and if ive watched the movie before and i decided to watch it again it will get to a point that the movie will stop and continue counting the time i cant download the subtitles of the movie i wanna watch again i used to recommend this app before but now im disappointed in the app i dont enjoy watching videos on vlc player again what is happening any solution :  
"
51,"years long of persisting unresolved bugs and unrefinements experienced since 2016 on every android device i use whenever you switch to another app and switch back to vlc the video resets to several minutes back so you have to seek forward where you left off extremely stoopid dumba developers for such a popular app :  
"
52,"vlc is my favorite player on desktop why adroid version of vlc is so different ui is really bad icons on playback arent intuitive especially icons for audio track or subtitle switch audio tracks are mostly delayed file list displays some tags information not filename in my case all files in one folder has same description timebar position is in the lower third not good position fo me unable to chage unable to play vobs as desktop version is able to unable to set to play all files in folder need to use mx player for som filetypes recent version started to crash on my android tv box on start uninstall and instal back helped unable to play wob files :  
"
53,"make sure you back up your sd card this app corrupted mine and i lost all my pictures and videos its buggy with several features that just dont work such as designating only certain folders to be scanned and creating playlists the only good part about this app is that it does infact play videos :  
"
54,"after each update i cant download subtitles anymore its annoying please help fix this asap as i have uninstalled and redownloaded only to meet the same issue whenever i try to download subtitles it brings out the list of subtitles but i cant download the subtitles please again and again help fix this issue :  
"
55,"this is a very good video player app a job well done by videolabs i just got little problem ever since i updated the app to this version i couldnt download subtitles anymore so please review it :  
"
56,"superb player but it doesnt do as it is told after disabling media scanning it still does it and it shows permanent notification instead of being media library app it should be a solid unobtrusive player uninstalled :  
"
57,"its a great app reallythe only issue is downloading subtitles its either saying no network even when my connection is on or when the search finally connects it just keeps loading without actually downloading the subtitles this sucks af :  
"
58,"the best video player out there it was the best on desktop when it came out and its the best on phones able to play all types of video files and all the usual features of a video player are available best part no ads i used to have mx player earlier but since i started using this ive never gone back to it :  
"
59,"using this player for live radio online m3u stream in background mode for an two or three years and elementary bugs still not fixed mmmm whereis delete button or clear in stream history list why this nice player closes where internet switches from mobile to wifi or other way why this nice player do not want to work more than 15 minutes in background every time i have to run player and by hands write down url but now there is memory of urls thanks :  
"
60,"the option about fixing subtitle delay needs to be improved it doesnt work properly sometimes when the time gap is large its hard to increase it in milisecond manual number input option can help here :  
"
61,"doesnt work well with subtitles especially casting it for some reason refuses to show is frustrating if it is hard coded it is fine lots of strange bugs like playing in background but fails to render again when screen turns on again app is just frustrating to use :  
"
62,"plays all the files ok vlc is a standard on android subtitles are not visible during casting to chromecast they are visible when watched on smartphonetablet though i found a workaround to start the video on mobile device with subtitles on theyre visible on mobile screen then cast the whole devices screen from the system menunotifications not from vlc vlc figures out that it is being cast so it stops playing video on mobile device as it plays on chromecast subtitles now show in cast to chromecast however this is a strange mix of cast whole screen and cast video from vlc vlc is aware of the ongoing cast the screen has to stay on no locking although nothing is playing on it just big vlc streaming logo but the subtitles are now visible itd be great to get a fix for this works great from an smb share too :  
"
63,"did not work on my phoenix os but i love it in my windows pc the extra feature i would love to have is the subtitle fetching from opensubtitles automatically more advance would be the auto sync of voice and subtitles if not so of course this is not going to come pretty soon :  
"
64,"app appears to keep running in the background and popping up notifications even with scanning and everything turned off been this way for at least a couple months so im assuming the developers have no intention of fixing it uninstalling and searching for an alternative :  
"
65,"i was happy using my phones own music player huawei then they decided to mess with it so i needed a new player i have this one installed on a tablet so i knew it was a decent player overall ive only given it 4 stars because it doesnt display all the album art and editing track info isnt possible :  
"
66,"this app was the best at first so i decided to update it to the new version which seams to have crashes since ive updated it when i launch it it shows a white black screen please fix this issue on an immediate effect :  
"
67,"it will not open and this bug isnt showing up for the first time my device is samsung a2 core that i up to date on all its software this shouldnt be happening i am very disappointed because i support the pc version of vlc alot :  
"
68,"yet another non comparable mp3 player for this useless samsung 515 vlc like others cannot access device correctly to find files or even have a confirm box to set directly of files stored all permission forced in settings so it should have access but never actually works acts life clean instal every use positive point files can be forced to play by using file browser but if device is sleep mode and no playback app crashes or stops playback reverts to new install state :  
"
69,"since the last update doesnt update new videos in my library no matter how much i wait besides that it doesnt allow me to delete any files although i have given the necessary permission other than thatgood old vlc all that on a note 9 with 90 :  
"
70,"3 stars everything is okay but the local media streamingafter the latest update local network is not working properlyearlier i used to watch videos of my computer in my smartphone using vlc local share option nnnn in my computer settings sharing is on and even i check windows firewall settingsnothing wrong form my computer computer sharing configuration is perfectly set :  
"
71,"after opening a media file via file manager on minimising the app and while trying to return to the app it shows app isnt available just for this reason i am giving it 1 star this is a great app but this issue makes it unusable even after a couple of updates it wasnt fixed suggestion insert the name of file in manual search of subtitle by default editing is easy instead of typing the whole name android one mi a3 android version 10 user :  
"
72,"used to be essential being the only android app that could play action cam video gopro etc files but not anymore it just does nothing when you try to play such a video no error message appears to start the video then just goes back to the file browser screen useless to me now  :  
"
73,"the app hangs when starting up if it is running from an sd card it the app is moved back to device memory it runs without problems android shows that this app can be moved to sd storage but vlc does not run when that is done looking for an media player app that can actually run from sd storage to spare my limited phone memory :  
"
74,"i have used vlc on windows linux several distros several tablets and phones never any issues it just works there is a pause when refreshing the music library on mobile devices but then i carry 56 gigs of flac music files so it is to be expected :  
"
75,"this app is very poor when a video is played on tv via casting frequently disconnected really disappointing its been a month now since i put a comment and still the same getting worse every passing day sad :  
"
76,"best video player app for phones only problem is it doesnt play all videos when you open a folder if video files you have to go out of your way to make a playlist for them which is a pain :  
"
77,"it lags the video and its too hard to pause it whenever i hit the pause button it lags the video so i just double tap it to stop but turns out it flashforward its kinda annoying i thought this will help me watch videos and movies unlike on my video player but it is kinda worst i have vlc on my phone last time but not like this :  
"
78,"app is good but ui is not smooth and easy to use in mx player you need to work on your subtitles downloader as it doesnt seems to be finding the file properly manual search is completely useless in it dark theme needs to be changed to amoled black which can save battery :  
"
79,"good appbut i dont like only one pointi change orientation from setting set portraitafter when i change from video screen orientation iconthat time first one toast display and after i need to touch that icon againand i miss that 45 second video part because i stuck in video orientation change why i cant change directly touch on screenby the wayi dont like and dont want use automatically orientation by mobilei want maemuellyhow to do that without toast :  
"
80,"i have been using this app since 2015 and it has always been good no crash whatsoever until last week im unable to download subtitles it just keeps saying error occured and my friends have the same issue some already deleted the app you guys should plesse look into it :  
"
81,"the app is fine but the problem is that if we receive a phone call while watching a video we cannot continue instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were hope this problem will be fixed at the earliest :  
"
82,"this app is so incompetent that it leaves a persistent notification that cant be swiped away saying that im playing a locallystored video but yet cant save my place on sad locallystored video because its longer than 20 minutesif its an issue of a budget 50 phone with low ram than just save my place and catche it i for one am getting sick and tired of having to take screenshots of where i am in a video because this stupid app cant save my place :  
"
83,"its perfect but playing hevc is still very bad its laggy and slow on the other hand all other media players work very good with hevc without any lags i hope you could fix this problem soon :  
"
84,"when i cast from vlc player there will be times where it runs smoothly for an hour other times it will stop for no reason forcing me to recast to my screen its mad annoying when i have to do this every 5 minutes any solutions to this problem :  
"
85,"close to 20 years of awesomeness they heart apparently in the right right place i not aware of any other open source media player that can handle any kind of format if the file in question has gotten messed up some or bitrot itll still try viva la vlc 28 03 2020 melbourne cbd in the spooky wrong covid19 vibenew normal dang m :  
"
86,"generally it does appear to be a good all round media player however i have to drop a star since with last update the subtitles for videos played in landscape mode are not formated to the scale of the displayed video and as such unusable brilliant for use with dlna pity about subtitles :  
"
87,"in contrast to the pc version of this app it sucks there are many better video players on the play store it is too simple i cant see the codec used by the video or the resolution when the video is playing i only use it because it has no ads and supports a wide variety of formats :  
"
88,"amazing that it doesnt have an annoying ads but it takes too long to parse the data and there are no next option you have to exit the video and click the next one :  
"
89,"ive been using vlc for years on both android and pc best cross format player around imho still works great even with android 10 and 9 feature request add playlist tab to main tabs i hate having to dig into the settings to get to my playlists o :  
"
90,"i was using beta version of this app and there was a problem this app saves album art of all my music in an unhidden folder due to which album art was visible on my gallery i wasnt expecting such a minor bug from team vlc :  
"
91,"the download subtitle part never works how can you put something for our use and still make it useless it will always redirect you to where they wrote manual search even after clicking on it it still doesnt work :  
"
92,"parsing takes forever one is not able to select a specific folder to scan only internal or external storage selecting external storage all folders are selected and you cannot deselect any :  
"
93,"twice now in the past couple of months i have had all my tv shows and movies downloaded here and twice within a couple of days most or partial of them are gone i dont know if this has to do with an update but whatever it is its not working frustrating having to go back and put them in again please fix this :  
"
94,"theres some problems with the ab playback with the button not changing when you disable it after using it another thing that kind of annoys me is when i do the repeat song option it only stays on that song when trying to advance my current list of songs other than that love the app :  
"
95,"this has been my goto app for years for media files however its ui has become somewhat cranky lately sometimes the play all button doesnt show up in the 3211 release on my samsung if i move app from internal memory to sd card the ui disappears entirely until i move it back :  
"
96,"last update is to bad when i play video song or any other video into audio it come back and the audio player hide please fix it :  
"
97,"its good but im experiencing the following bug the last second of every song is cut by the player this is especially annoying when the songs on an album are composed such that they transition nicely from one song to the next at least with a good player they do pls fix asap  :  
"
98,"i dont know whats going on but this has been my apps for many many years even on my laptop sense this new update it doesnt even cast it recycles on the main page by it self an it doesnt go into portrait mode this is weird an crazy not like vlc :  
"
99,"great app no ads never annoys me its such a good app one of the best on google play store only one problem if i resume a paused video the sound doesnt come for a second and then its all okay :  
"
100,"its not quite the former app before the update now i am unable to download subtitles it stopped working since like 5 updates ago vlc needs to fix this cos ive been going through the pain of having to download manually from my browser and attaching to the app thats old school pls fix :  
"
101,"the only thing that bothers me about this app is that when i append a song to play next this popup thing comes up at the bottom of the screen which doesnt allow me to access the queue of songs :  
"
102,"this is a great app but i hope you fix bugs like sometimes when i connect my airpods to my phone it suddenly plays a video thats is similar when playing a music in this app even though i am not using the app and its kinda irritating :  
"
103,"getting fed up of this app always says cannot render to tv made a playlist just flashes screen black and closes it literally doesnt work for anything even when it does work it randomly closes without saving progress completely useless app :  
"
104,"good really but over my phone it works only with videos for the audio it pauses automatically my phone goes to sleep mode i tried reistalling but still that problem persisted :  
"
105,"when we go back to home screen and then try to continue watching it stop workingwe need to play the video from the beginningits so annoyingneed to fix this serious bug :  
"
106,"was absolutely great until last update now i cant play video as audio it will just crash if i try using verizon note9 edit ive figured the issue its working great now it was not your fault it was some other software i was running that caused it to crash :  
"
107,"was a good app to begin with reduced to one star from 5 because it doesnt always see my external memory card there are other apps now which can and are keeping up with the latest tech will soon uninstall if you dont fix wake up you lot :  
"
108,"bug in playback history i have unchecking it but its stil save its state so i have to clear playback history in advanced download subtitles not working anymore error in group videos by name resulting in some file etc webm being no media files found please transfer some file otherwise option is listed normally :  
"
109,"i recently downloaded this app and i must say its actually the best so far but the only problem is that when i add a subtitle it works but the speaker speaks before the subtitle appears it does not come at once with the speaker please i need reply :  
"
110,"i love vlc since childhood really but recently ive been having this issue on my phone i am using a redmi note 8 which has a 1859 aspect ratio when i go to fill screen for video to get best experience of viewing the subtitles move off the screen tried many workarounds but nothing please fix this issue :  
"
111,"i been using vlc player for a long time nowyears and yearsand i can honestly say that i cant recall a time when there was an update that made me feel like i need to pay money to use a top of the line media player so yeahthats my experience  :  
"
112,"getting there a lot of features added since last visit especially with smb file system although im experiencing a hiccup with my s20 and pixel 4 running android 10 it askes for authentication required everytime with remember password ticked while my tab s4 on android 9 running no problem :  
"
113,"so many bugs plays in background but no controls in notifications when you tap the app to bring up the controls the video is a still screen navigating is a pain resuming forgets my place constantly basically unusable :  
"
114,"maybe a nice player the interface the features but the problem is cannot play other format videos downloaded from vidmate such as 240pmp4 format please fix the issue i will give you 5star otherwise ill uninstall this scrap :  
"
115,"no feature to select a particular language to always play first in case of a video with multiple audio i have been waiting for this feature for so long kindly add this feature as i no longer use mx player which already has this feature inbuilt nokia 61 android 10 :  
"
116,"it would be amazeballs if i could see the timeline of audio tracks covering the whole width of the screen when kept horizontally also when browsing through directories no option to sort by file size file type other than that happy with it :  
"
117,"good app really but for a while now has been presenting a loading notification all the time extremely annoying cannot make it stop in settings 1 star for constant nagging on notification bar :  
"
118,"always great when it works keeps giving me a problem with not being able to find the right path to pull what i have already downloaded could be better if they could give tutorial on how and where to find path u can manually enter so it can find them :  
"
119,"if we pause video and screen gets locked after unlocking the screen it doesnt play the video from where it was paused it crashes and have to start all over again ps it still doesnt have feature to skip to the time where it was closed please fix this asap  :  
"
120,"been using vlc for the better part of 20 years every computer i have and then i discovered i could have it on my phone too it plays everything so long as the files not corrupted :  
"
121,"it lags often when playing 1080p videos i deleted all data and cache restarted my phone and disabled hardware acceleration but still it doesnt work properly can you please help me with this issue is there some settings that i need to change :  
"
122,"its good but every time i skip forwards or backwards the sound stops playing which is really annoying restarting the app does nothing :  
"
123,"still missing basic features 1 no custom subtitle placement 2 limited subtitle size options 3 once zoomed in the video subtitles are cropped as well how is this app top rated with these basic features missing :  
"
124,"crashes every time i run the app had been running fine but the problem surfaced just two days ago restarted the phone but no help :  
"
125,"love it awesome video playback more precise brightness adjustment ruptured eardrums from the awesome loudness only problem i have is that youtube video streaming does not work on any of my android devices i havent tested other websites :  
"
126,"it does lack or may be hang amid of running videos and especially when we tap on pause or resume button please resolve this problem it makes me irritate when i suppose to pause or resume but it doesnt respond for long time i hope you will overcome on this too soon thany you :  
"
127,"what has happened i dont know but vlc in my mobile is not supporting subtitles though i add them manually they are shown in the subtitle list but no subtitle in the video tried uninstalling deleting cache data everythingbut the problem remains the same please suggest something :  
"
128,"allows me to play songs and videos from other phones in formats not supported on my current phone im happy theres not much this app cant do doesnt take a lot of space on phone not bothered by a bunch of updates :  
"
129,"the subtitles get cropped too when using zoomed in mode in 219 displays fix it please i have enabled the group video by name feature but it doesnt seem to work note there are hundreds of individual files showing in the home area :  
"
130,"will not play urls if you dont give it storage permission does nobody test this i doesnt need access for anything i want to do with it yet refuses to work without now also seems to apply tricks to run in the background seeing notifications pop up and disappear all the time :  
"
131,"why i cant open online radio stream with mobile internet connection it plays only through wifi otherwise theres an error occurr :  
"
132,"awful installed in on samsung android 9 cant open my photos on sd card says directory is empty and its not empty nothing wrong with sd card photos are there whats up vlc tried moving app from internal to sd card but then the app wont open :  
"
133,"when i zoom in a video with subtitles it increases the contract to much that i cant see anything please fix this its the only reasons that makes me want to wstch movies in another players :  
"
134,"vlc is the only app i could find that accurately displayed the length of my audio books and accurately added my whole music library from my sd card i must have tried over a dozen apps :  
"
135,"this video player absolutely sucks always letting me down especially when it comes to chromecasting ever since the feature has been added i have never been able to have anything cast for more than 5 minutes without losing picture im officially done with vlc :  
"
136,"in some movies when subtitle starts appearing on screen video goes black and can hear audio only has to change screen mode to full screen to see video this problem is 46 months old still u guys are not solving it :  
"
137,"what the hell just happened to it earlier it was so amazing it is not even playing mp4 it was an excellent app but now every time it is reffering me to some other video player i mean why i want this app to play my file :  
"
138,"app does not function the way it did after update like if i pause a track then switch to a different app whwn i load vlc again my playlist is gone and i need to start selecting tracks again previous version was 100 please fix this :  
"
139,"unusable always gets stuck on scanning media library i dont want you to scan my media library and make my whole phone sluggish i will share a file to you when i want to use you i do not want you to go through all my files and make me wait forever for it :  
"
140,"why does it always play fast even i didnt turn on the save playback speed anytime i play videos i only tune the playback speed once but when i play the same video it didnt play as default speed please fix this its annoying to turn the speed manually same happened to my phone and tablet :  
"
141,"seems to be ok but a chargement notification keep on displaying very strange impossible to find what vlc is looking for or charging i disabled all automatic process i dont have any media library configured its really annoying i uninstall :  
"
142,"could you please add fast forward 10 sec and backward option like youtube has also the audio ive been trying to play keeps getting paused after few mins and ive to resume it again and again idk whats wrong :  
"
